,token_id,facility,@timestamp,test_sensor1,test_sensor3,test_sensor2,test_sensor4,test_sensor5,test_sensor6,test_sensor7
31,JQVPJFTERT,test5,2023-06-23 18:12:58.194792,,,,,0.4562924341855441,,
32,CS87T9VG98,test5,2023-06-23 18:12:59.194792,,,,,0.9947820148263727,,
33,SGQ9E27E4C,test5,2023-06-23 18:13:00.194792,,,,,0.8591439653673965,,
34,Y4ENEFFS82,test5,2023-06-23 18:13:01.194792,,,,,0.559550425105676,,
35,JZDZ249SGE,test5,2023-06-23 18:13:02.194792,,,,,0.7689397546802831,,
36,TNXCN3CJWR,test5,2023-06-23 18:13:03.194792,,,,,0.8219880997570556,,
37,GZQ4AXFZ9R,test5,2023-06-23 18:13:04.194792,,,,,0.32036912027399156,,
38,F28CFE2CNY,test5,2023-06-23 18:13:05.194792,,,,,0.32896228052446186,,
39,294SDHFC5J,test5,2023-06-23 18:13:06.194792,,,,,0.8940540406309299,,
40,8WAFN4KDC3,test6,2023-06-24 18:12:57.194792,,,,,,0.5504914790490274,
41,JQVPJFTERT,test7,2023-06-24 18:12:58.194792,,,,,,,0.36515726571279905
42,CS87T9VG98,test7,2023-06-24 18:12:59.194792,,,,,,,0.43173026707308204
43,SGQ9E27E4C,test7,2023-06-24 18:13:00.194792,,,,,,,0.3245671330926252
44,Y4ENEFFS82,test6,2023-06-24 18:13:01.194792,,,,,,0.6697738571898175,
45,JZDZ249SGE,test6,2023-06-24 18:13:02.194792,,,,,,0.9938146847309333,
46,TNXCN3CJWR,test7,2023-06-24 18:13:03.194792,,,,,,,0.4963502412787453
47,GZQ4AXFZ9R,test6,2023-06-24 18:13:04.194792,,,,,,0.8426715908148297,
48,F28CFE2CNY,test7,2023-06-24 18:13:05.194792,,,,,,,0.01219739459574165
49,294SDHFC5J,test7,2023-06-24 18:13:06.194792,,,,,,,0.08689372473908574
50,8WAFN4KDC3,test5,2023-06-25 18:12:57.194792,,,,,0.9390443525034712,,
51,Y4ENEFFS82,test5,2023-06-25 18:13:01.194792,,,,,0.525065989914129,,
52,JZDZ249SGE,test5,2023-06-25 18:13:02.194792,,,,,0.9173204129934948,,
53,GZQ4AXFZ9R,test5,2023-06-25 18:13:04.194792,,,,,0.6788106670570633,,
54,8WAFN4KDC3,test7,2023-06-26 18:12:57.194792,,,,,,,0.07457988823917139
55,Y4ENEFFS82,test6,2023-06-26 18:13:01.194792,,,,,,0.14124882736981847,
56,JZDZ249SGE,test7,2023-06-26 18:13:02.194792,,,,,,,0.1778016136250541
57,GZQ4AXFZ9R,test7,2023-06-26 18:13:04.194792,,,,,,,0.3015016549546041
58,Y4ENEFFS82,test5,2023-06-27 18:13:01.194792,,,,,0.46841719522826286,,
59,Y4ENEFFS82,test6,2023-06-28 18:13:01.194792,,,,,,0.5870842380272038,
60,Y4ENEFFS82,test5,2023-06-29 18:13:01.194792,,,,,0.3593455574482486,,
61,Y4ENEFFS82,test7,2023-06-30 18:13:01.194792,,,,,,,0.4436135054413102
